"CubeId";"rendoblid"
"PublishingDate";"2020-11-02 14:30"

"Date";"D0";"Value"
"1991-01-01";"1J";
"1991-01-01";"2J";
"1991-01-01";"3J";
"1991-01-01";"4J";
"1991-01-01";"5J";
"1991-01-01";"6J";
"1991-01-01";"7J";
"1991-01-01";"8J";
"1991-01-01";"9J";
"1991-01-01";"10J0";
"1991-01-01";"15J";
"1991-01-01";"20J";
"1991-01-01";"30J";
"1991-01-02";"1J";
"1991-01-02";"2J";
"1991-01-02";"3J";
"1991-01-02";"4J";
"1991-01-02";"5J";
"1991-01-02";"6J";
"1991-01-02";"7J";
"1991-01-02";"8J";
"1991-01-02";"9J";
"1991-01-02";"10J0";
"1991-01-02";"15J";
"1991-01-02";"20J";
"1991-01-02";"30J";
"1991-01-03";"1J";"8.105"
"1991-01-03";"2J";"7.339"
"1991-01-03";"3J";"6.944"
"1991-01-03";"4J";"6.752"
"1991-01-03";"5J";"6.66"
"1991-01-03";"6J";"6.618"
"1991-01-03";"7J";"6.599"
"1991-01-03";"8J";"6.593"
"1991-01-03";"9J";"6.592"
"1991-01-03";"10J0";"6.594"
"1991-01-03";"15J";"6.607"
"1991-01-03";"20J";"6.616"
"1991-01-03";"30J";
"1991-01-04";"1J";
"1991-01-04";"2J";
"1991-01-04";"3J";
"1991-01-04";"4J";
"1991-01-04";"5J";
"1991-01-04";"6J";
"1991-01-04";"7J";
"1991-01-04";"8J";
"1991-01-04";"9J";
"1991-01-04";"10J0";
"1991-01-04";"15J";
"1991-01-04";"20J";
"1991-01-04";"30J";
"1991-01-07";"1J";"8.336"
"1991-01-07";"2J";"7.285"
"1991-01-07";"3J";"6.791"
"1991-01-07";"4J";"6.609"
"1991-01-07";"5J";"6.549"
"1991-01-07";"6J";"6.532"
"1991-01-07";"7J";"6.53"
"1991-01-07";"8J";"6.532"
"1991-01-07";"9J";"6.534"
"1991-01-07";"10J0";"6.537"
"1991-01-07";"15J";"6.545"
"1991-01-07";"20J";"6.55"
"1991-01-07";"30J";
"1991-01-08";"1J";
"1991-01-08";"2J";
"1991-01-08";"3J";
"1991-01-08";"4J";
"1991-01-08";"5J";
"1991-01-08";"6J";
"1991-01-08";"7J";
"1991-01-08";"8J";
"1991-01-08";"9J";
"1991-01-08";"10J0";
"1991-01-08";"15J";
"1991-01-08";"20J";
"1991-01-08";"30J";
"1991-01-09";"1J";
"1991-01-09";"2J";
"1991-01-09";"3J";
"1991-01-09";"4J";
"1991-01-09";"5J";
"1991-01-09";"6J";
"1991-01-09";"7J";
"1991-01-09";"8J";
"1991-01-09";"9J";
"1991-01-09";"10J0";
"1991-01-09";"15J";
"1991-01-09";"20J";
"1991-01-09";"30J";
"1991-01-10";"1J";
"1991-01-10";"2J";
"1991-01-10";"3J";
"1991-01-10";"4J";
"1991-01-10";"5J";
"1991-01-10";"6J";
"1991-01-10";"7J";
"1991-01-10";"8J";
"1991-01-10";"9J";
"1991-01-10";"10J0";
"1991-01-10";"15J";
"1991-01-10";"20J";
"1991-01-10";"30J";
"1991-01-11";"1J";
"1991-01-11";"2J";
"1991-01-11";"3J";
"1991-01-11";"4J";
"1991-01-11";"5J";
"1991-01-11";"6J";
"1991-01-11";"7J";
"1991-01-11";"8J";
"1991-01-11";"9J";
"1991-01-11";"10J0";
"1991-01-11";"15J";
"1991-01-11";"20J";
"1991-01-11";"30J";
"1991-01-14";"1J";"8.177"
"1991-01-14";"2J";"7.113"
"1991-01-14";"3J";"6.7"
"1991-01-14";"4J";"6.568"
"1991-01-14";"5J";"6.53"
"1991-01-14";"6J";"6.52"
"1991-01-14";"7J";"6.519"
"1991-01-14";"8J";"6.52"
